"id","title","description","icon","long_description"
"12","בקשה לגניזת תיק","סגירת תיק חקירה ומניעת הגשת כתב אישום לבית משפט","FolderArchive","נפתחה נגדך חקירה והתיק עדיין פתוח? אנו נבחן את המקרה ונגיש בקשה מתאימה לסגירת התיק."
"13","בקשת חנינה","הגשת פנייה מתאימה לנשיא המדינה.","HeartHandshake","בניגוד למה שנהוג לחשוב, בקשת חנינה אינה רק למי שנגזר עליו עונש מאסר. ניתן לבקש חנינה אפילו בקשר לקנסות. בקשת חנינה מתאימה גם למי שנושא הרשעה פלילית, כאשר בנסיבות המתאימות ניתן לבקש קיצור תקופת התיישנות או מחיקה."
"14","הגשת קובלנה פלילית פרטית","תוכל לבחון הגשת כתב אישום בגין עבירה שבוצעה בך, ללא צורך בפרקליטות ובאופן עצמאי","FilePlus","רבים לא יודעים, אך ישנם מקרים שבהם אזרח יכול להגיש כתב אישום בגין עבירות פליליות שבוצעו כלפיו. אנו נבחן את המקרה ונייצג אותך בהליך."
"15","טיפול בקבלת מכתב התראה","מענה מקצועי באמצעות עורך דין","MailWarning","קיבלת מכתב התראה מעורך דין בו הוא מאיים שאם לא תשלם כסף ללקוח שלו, תוגש נגדך תביעה כספית משמעותית? פעמים רבות מדובר באיום סרק. אנו נשיב למכתב באופן מקצועי."
"16","כתב אישום","ייצוג בהליך פלילי","FileText","קיבלת כתב אישום? המדינה טוענת שביצעת עבירה? אתה זקוק לייצוג מקצועי. אנחנו נעמוד לצדך ונעמיד עבורך את הטיעונים הטובים ביותר מול התביעה."
"17","ערר על סגירת תיק","התלוננת והמשטרה סגרה את התיק? תוכל לבקש את פתיחתו מחדש","RotateCcw","אין דבר מתסכל יותר מאשר תלונה מוצדקת שהגשת למשטרה, והיא סוגרת את התיק. יש דרך לשכנע את המשטרה לפתוח את התיק ולמצות את הדין."
